model_name,actual_aqi,predicted_aqi,error
Linear Regression (Baseline),54.0,55.86104501445407,1.8610450144540707
Linear Regression (Baseline),62.0,82.5557141179406,20.555714117940596
Linear Regression (Baseline),85.0,75.00561602360187,-9.994383976398126
Linear Regression (Baseline),31.0,63.65841149656287,32.65841149656287
Linear Regression (Baseline),194.0,179.31889982313675,-14.681100176863254
Linear Regression (Baseline),82.0,108.8628619417586,26.862861941758595
Linear Regression (Baseline),103.0,91.18535755934553,-11.814642440654467
Linear Regression (Baseline),93.0,151.64286895440085,58.64286895440085
Linear Regression (Baseline),67.0,92.07990001338142,25.07990001338142
Linear Regression (Baseline),175.0,178.41080167044524,3.410801670445238
Linear Regression (Baseline),63.0,104.11962036067457,41.119620360674574
Linear Regression (Baseline),95.0,109.87318896949066,14.873188969490656
Linear Regression (Baseline),56.0,71.38704475029503,15.387044750295033
Linear Regression (Baseline),83.0,113.29485966168997,30.29485966168997
Linear Regression (Baseline),127.0,130.0203307945702,3.0203307945702136
Linear Regression (Baseline),101.0,97.8015774746033,-3.198422525396694
Linear Regression (Baseline),257.0,200.82921613481895,-56.17078386518105
Linear Regression (Baseline),276.0,225.72472719791827,-50.27527280208173
Linear Regression (Baseline),54.0,72.48344396899188,18.483443968991878
Linear Regression (Baseline),83.0,100.48457250059725,17.484572500597253
Linear Regression (Baseline),144.0,143.12546548128228,-0.8745345187177236
Linear Regression (Baseline),84.0,85.930709443479,1.930709443479003
Linear Regression (Baseline),399.0,492.93157338679134,93.93157338679134
Linear Regression (Baseline),115.0,143.29565908042613,28.295659080426134
Linear Regression (Baseline),113.0,103.9115326933024,-9.088467306697595
Linear Regression (Baseline),102.0,97.40889640330082,-4.591103596699185
Linear Regression (Baseline),301.0,333.97217134836944,32.97217134836944
Linear Regression (Baseline),64.0,79.64779012069124,15.64779012069124
Linear Regression (Baseline),157.0,105.03862738945628,-51.96137261054372
Linear Regression (Baseline),94.0,104.95224754143466,10.952247541434659
Linear Regression (Baseline),91.0,96.71101210613922,5.711012106139222
Linear Regression (Baseline),81.0,115.69919259368905,34.69919259368905
Linear Regression (Baseline),157.0,147.4104162875554,-9.589583712444607
Linear Regression (Baseline),257.0,169.42415749669027,-87.57584250330973
Linear Regression (Baseline),362.0,373.5899097871054,11.589909787105398
Linear Regression (Baseline),112.0,133.98633848560388,21.98633848560388
Linear Regression (Baseline),137.0,148.8394845303339,11.839484530333891
Linear Regression (Baseline),103.0,122.02630514423808,19.02630514423808
Linear Regression (Baseline),99.0,80.15012428774102,-18.849875712258978
Linear Regression (Baseline),101.0,102.484111063915,1.4841110639149946
Linear Regression (Baseline),123.0,134.83947298341803,11.839472983418034
Linear Regression (Baseline),400.0,417.2550132735107,17.255013273510713
Linear Regression (Baseline),149.0,98.11959280441889,-50.880407195581114
Linear Regression (Baseline),142.0,107.37527492961588,-34.624725070384116
Linear Regression (Baseline),36.0,66.83668062111238,30.83668062111238
Linear Regression (Baseline),184.0,161.08737779161513,-22.912622208384875
Linear Regression (Baseline),48.0,54.5348217376229,6.534821737622899
Linear Regression (Baseline),269.0,219.68531462785816,-49.31468537214184
Linear Regression (Baseline),49.0,72.81526045958164,23.815260459581637
Linear Regression (Baseline),119.0,130.0135429301634,11.013542930163396
Linear Regression (Baseline),263.0,219.57450810099797,-43.425491899002026
Linear Regression (Baseline),126.0,149.23204184176922,23.232041841769217
Linear Regression (Baseline),59.0,68.17611400578845,9.176114005788449
Linear Regression (Baseline),100.0,135.98725882362564,35.98725882362564
Linear Regression (Baseline),314.0,211.37349456304287,-102.62650543695713
Linear Regression (Baseline),41.0,69.41818294149255,28.418182941492546
Linear Regression (Baseline),378.0,397.4498661176938,19.449866117693773
Linear Regression (Baseline),67.0,78.9235991096747,11.923599109674697
Linear Regression (Baseline),350.0,384.66397599856407,34.66397599856407
Linear Regression (Baseline),232.0,249.78651216224782,17.786512162247817
